player_id,player_name,team_id,team_name,season,league,level,position,age,games,games_started,wins,losses,innings_pitched,hits_allowed,runs_allowed,earned_runs,home_runs_allowed,walks,strikeouts,era,whip,strikeouts_per_9,walks_per_9,hits_per_9,strikeout_walk_ratio,saves,holds,ip_decimal,hr_per_9
658792,Aaron Wilkerson,235,Memphis Redbirds,2025,INT,AAA,P,36,11,11,3,1,57.2,51,22,22,8,13,40,3.43,1.11,6.24,2.03,7.96,3.08,0,0,57.666666666666664,1.2485549132947977
700241,Michael McGreevy,235,Memphis Redbirds,2025,INT,AAA,P,24,15,15,8,3,75.0,78,35,31,7,15,78,3.72,1.24,9.36,1.80,9.36,5.20,0,0,75.0,0.8400000000000001
700669,Gordon Graceffo,235,Memphis Redbirds,2025,INT,AAA,P,25,24,4,2,4,45.1,45,23,19,5,13,45,3.77,1.28,8.93,2.58,8.93,3.46,2,2,45.333333333333336,0.9926470588235294
687273,Quinn Mathews,235,Memphis Redbirds,2025,INT,AAA,P,24,22,22,4,7,94.0,76,44,41,6,74,107,3.93,1.60,10.24,7.09,7.28,1.45,0,0,94.0,0.5744680851063829
694358,Tekoah Roby,235,Memphis Redbirds,2025,INT,AAA,P,23,6,6,3,2,31.1,33,17,14,4,8,30,4.02,1.31,8.62,2.30,9.48,3.75,0,0,31.333333333333332,1.148936170212766
685107,Anthony Veneziano,235,Memphis Redbirds,2025,INT,AAA,P,27,10,0,1,0,12.1,14,6,6,1,11,6,4.38,2.03,4.38,8.03,10.22,0.55,0,0,12.333333333333334,0.7297297297297296
665996,Oddanier Mosqueda,235,Memphis Redbirds,2025,INT,AAA,P,26,55,0,5,5,65.2,51,36,33,7,31,68,4.52,1.25,9.32,4.25,6.99,2.19,2,10,65.66666666666667,0.9593908629441623
688297,Chris Roycroft,235,Memphis Redbirds,2025,INT,AAA,P,28,35,0,3,2,46.2,50,29,25,4,24,47,4.82,1.59,9.06,4.63,9.64,1.96,5,5,46.666666666666664,0.7714285714285715
675919,Nick Raquet,235,Memphis Redbirds,2025,INT,AAA,P,29,14,0,2,3,17.1,16,11,10,4,6,22,5.19,1.27,11.42,3.12,8.31,3.67,3,2,17.333333333333332,2.076923076923077
813766,Skylar Hales,235,Memphis Redbirds,2025,INT,AAA,P,23,16,0,5,0,20.0,17,13,12,3,9,18,5.40,1.30,8.10,4.05,7.65,2.00,0,1,20.0,1.3499999999999999
592848,Zack Weiss,235,Memphis Redbirds,2025,INT,AAA,P,33,43,0,3,2,66.1,65,44,40,17,36,77,5.43,1.52,10.45,4.88,8.82,2.14,2,2,66.33333333333333,2.306532663316583
667652,Jack Ralston,235,Memphis Redbirds,2025,INT,AAA,P,27,14,0,1,1,18.0,20,14,11,2,16,22,5.50,2.00,11.00,8.00,10.00,1.38,0,1,18.0,1.0
680723,Drew Rom,235,Memphis Redbirds,2025,INT,AAA,P,25,4,4,0,0,14.1,9,9,9,2,6,11,5.65,1.05,6.91,3.77,5.65,1.83,0,0,14.333333333333334,1.255813953488372
676498,Alex Cornwell,235,Memphis Redbirds,2025,INT,AAA,P,26,35,12,4,6,92.2,110,66,61,9,45,71,5.92,1.67,6.90,4.37,10.68,1.58,1,2,92.66666666666667,0.8741007194244603
623433,Nick Anderson,235,Memphis Redbirds,2025,INT,AAA,P,34,17,0,0,1,20.1,21,14,14,3,8,20,6.20,1.43,8.85,3.54,9.30,2.50,0,4,20.333333333333332,1.3278688524590163
691008,Max Rajcic,235,Memphis Redbirds,2025,INT,AAA,P,23,11,11,0,4,45.0,58,36,32,10,27,28,6.40,1.89,5.60,5.40,11.60,1.04,0,0,45.0,2.0
672405,Leonardo Taveras,235,Memphis Redbirds,2025,INT,AAA,P,26,13,3,2,1,21.2,15,16,16,2,21,20,6.65,1.66,8.31,8.72,6.23,0.95,0,0,21.666666666666668,0.8307692307692307
